task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f3/f28a73	238789	simular_comets (rz_pk_gp_lb_ST00060)	COMPLETED	0	2026-07-09 16:59:54.790	1m 9s	1m 3s	28.6%	436.4 MB	7.9 GB	83.7 MB	39.1 MB
3	87/4e4d4d	238792	simular_comets (rz_pk_gp_lb_ST00094)	COMPLETED	0	2026-07-09 17:01:03.517	39.9s	18.9s	101.5%	524.4 MB	8.2 GB	83.7 MB	38.9 MB
1	01/6f5b95	238790	simular_comets (rz_pk_gp_lb_ST00046)	COMPLETED	0	2026-07-09 16:59:54.908	2m 14s	2m	10.3%	444.9 MB	8.2 GB	82.3 MB	38.8 MB
4	ec/b60acd	238791	simular_comets (rz_pk_gp_lb_ST00101)	COMPLETED	0	2026-07-09 16:59:54.977	2m 13s	1m 33s	20.5%	521.8 MB	8.2 GB	85 MB	39 MB
5	05/fd2244	238793	simular_comets (rz_pk_gp_lb_ST00109)	COMPLETED	0	2026-07-09 17:01:43.463	40s	16.4s	100.4%	427.8 MB	7.8 GB	83.4 MB	38.9 MB
6	7e/d36017	238794	simular_comets (rz_pk_gp_lb_ST00110)	COMPLETED	0	2026-07-09 17:02:08.480	39.9s	20.4s	105.6%	545.7 MB	8.2 GB	84.8 MB	39 MB
7	7c/15f65d	238795	simular_comets (rz_pk_gp_lb_ST00143)	COMPLETED	0	2026-07-09 17:02:08.565	39.9s	13.4s	103.4%	469.7 MB	8.3 GB	82.7 MB	38.8 MB
8	9a/e4573d	238797	simular_comets (rz_pk_gp_lb_ST00154)	COMPLETED	0	2026-07-09 17:02:23.499	39.9s	17.2s	101.7%	558.2 MB	8.4 GB	84.1 MB	38.9 MB
9	02/26a65c	238799	simular_comets (rz_pk_gp_lb_ST00164)	COMPLETED	0	2026-07-09 17:02:48.548	34.9s	15.7s	100.9%	450.2 MB	7.9 GB	82.9 MB	38.8 MB
10	1f/071d30	238800	simular_comets (rz_pk_gp_lb_ST00000)	COMPLETED	0	2026-07-09 17:02:48.633	39.8s	17.3s	100.2%	568.8 MB	8.4 GB	85.4 MB	38.9 MB
11	41/71d41f	238801	simular_comets (rz_pk_gp_lb_ST00042)	COMPLETED	0	2026-07-09 17:03:03.515	39.9s	17.4s	103.3%	560.2 MB	8.4 GB	84.4 MB	38.9 MB
