simulation,initial_mass,final_mass,velocity
cc_na_cv_lb_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_na_cv_lb_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_cv_lb_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_cv_lb_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_cv_lb_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_na_cv_lb_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_cv_lb_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_na_cv_lb_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_na_cv_lb_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_cv_lb_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_cv_lb_mm_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_cv_lb_mm_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_cv_lb_mm_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_cv_lb_mm_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_na_cv_lb_mm_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_cv_lb_mm_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_na_cv_lb_mm_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_na_cv_lb_mm_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_cv_lb_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_cv_mm_Bacillus_altitudinis_23_x,1e-8,1.0000967139e-8,9.671389999997743e-17
cc_na_cv_mm_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_cv_mm_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_cv_mm_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_cv_mm_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_na_cv_mm_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_cv_mm_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_cv_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_cv_na_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_na_cv_na_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_cv_na_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_cv_na_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_cv_na_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_na_cv_na_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_cv_na_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_na_cv_na_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_na_cv_na_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_cv_na_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_gap_lb_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_na_gap_lb_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_gap_lb_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_na_gap_lb_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_na_gap_lb_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_na_gap_lb_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_na_gap_lb_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_na_gap_lb_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_na_gap_lb_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_na_gp_mm_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_na_gp_mm_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_na_gp_mm_Bacillus_infantis_161_d,1e-8,1e-8,0
